age,sex,unit,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
ADULT,T,P_HTHAB,DE	: 	: 	92.56 	93.41 	98.20 	102.01 	103.85 	103.67 	105.82 	108.41 
ADULT,T,P_HTHAB,DK	75.60 	74.72 	71.21 	80.32 	92.45 	87.30 	90.54 	90.90 	86.20 	80.81 
ADULT,T,P_HTHAB,EE	253.63 	269.85 	266.07 	279.90 	291.97 	300.55 	327.62 	324.72 	345.20 	314.00 
ADULT,T,P_HTHAB,EL	112.56 	107.16 	107.21 	130.78 	135.06 	130.05 	129.74 	128.72 	119.02 	128.14 
ADULT,T,P_HTHAB,ES	149.04 	151.50 	156.75 	165.01 	168.00 	171.33 	177.97 	187.33 	: 	: 
ADULT,T,P_HTHAB,FI	67.35 	69.39 	69.29 	69.65 	73.90 	74.52 	74.51 	77.20 	82.35 	81.76 
ADULT,T,P_HTHAB,FR	131.02 	130.31 	127.61 	127.78 	130.03 	129.66 	126.73 	119.02 	120.55 	123.88 
ADULT,T,P_HTHAB,HR	89.50 	90.32 	95.03 	106.40 	122.82 	134.17 	144.13 	146.55 	137.97 	130.14 
ADULT,T,P_HTHAB,HU	211.65 	213.82 	210.19 	214.49 	216.24 	204.53 	203.79 	192.57 	182.47 	177.25 
ADULT,T,P_HTHAB,IE	: 	: 	93.30 	93.83 	108.68 	107.83 	107.78 	107.95 	111.64 	101.48 
ADULT,T,P_HTHAB,IS	50.67 	49.90 	59.68 	62.70 	60.73 	63.41 	62.18 	74.66 	61.20 	58.66 
ADULT,T,P_HTHAB,IT	113.71 	107.89 	102.89 	105.92 	125.92 	133.01 	135.64 	138.34 	132.37 	119.52 
ADULT,T,P_HTHAB,LI	261.57 	237.50 	195.10 	197.56 	247.54 	225.53 	266.11 	273.91 	578.17 	277.03 
ADULT,T,P_HTHAB,LT	280.16 	285.06 	303.32 	360.27 	377.74 	392.95 	395.13 	357.98 	330.86 	303.87 
ADULT,T,P_HTHAB,LU	143.61 	124.43 	153.16 	142.12 	152.87 	159.94 	156.22 	170.72 	181.94 	200.08 
ADULT,T,P_HTHAB,LV	233.71 	259.80 	266.70 	284.30 	303.55 	358.01 	378.74 	383.39 	389.21 	354.40 
ADULT,T,P_HTHAB,ME	228.41 	231.43 	233.47 	236.81 	226.06 	277.63 	283.24 	319.44 	317.93 	259.10 
